interaction,importance
Tem/Temra cytotoxic T cells|Regulatory T cells|COPA|CD74,0.034566287878787884
Regulatory T cells|Tem/Trm cytotoxic T cells|ADAM10|NOTCH2,0.02258712121212121
Tem/Trm cytotoxic T cells|Naive B cells|PSEN1|CD44,0.016346153846153847
Regulatory T cells|Tem/Trm cytotoxic T cells|HLA-DRB5|LAG3,0.01618080808080808
Regulatory T cells|Tem/Trm cytotoxic T cells|CD58|CD2,0.01618080808080808
Tem/Trm cytotoxic T cells|Regulatory T cells|HLA-DRB1|CD4,0.01601208791208791
Regulatory T cells|Tem/Temra cytotoxic T cells|HLA-DQB1|CD4,0.014566287878787878
Tem/Trm cytotoxic T cells|Regulatory T cells|GPI|AMFR,0.012779040404040405
Regulatory T cells|Tem/Trm cytotoxic T cells|CD99|PILRB,0.012398005698005699
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|TGFB1|LPP,0.011977551020408164
Tem/Temra cytotoxic T cells|Tem/Temra cytotoxic T cells|GZMB|IGF2R,0.0115993265993266
Regulatory T cells|Tem/Temra cytotoxic T cells|SELPLG|ITGB2,0.011411705177938943
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|LGALS9|CD47,0.010300846474953617
Tem/Trm cytotoxic T cells|Regulatory T cells|COPA|CD74,0.010127946127946128
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|COPA|CD74,0.01
Tem/Trm cytotoxic T cells|Regulatory T cells|CALM1|FAS,0.01
Regulatory T cells|Regulatory T cells|HLA-DPB1|CD4,0.01
Regulatory T cells|Regulatory T cells|COPA|CD74,0.01
Naive B cells|Tem/Trm cytotoxic T cells|HLA-F|CD8A,0.01
Tem/Trm cytotoxic T cells|Regulatory T cells|CD58|CD2,0.01
Regulatory T cells|Tem/Trm cytotoxic T cells|COPA|CD74,0.009776295133437989
Tem/Temra cytotoxic T cells|Regulatory T cells|HLA-DPB1|CD4,0.008887741046831956
Tem/Trm cytotoxic T cells|Naive B cells|COPA|CD74,0.00846064814814815
Tem/Temra cytotoxic T cells|Regulatory T cells|CCL4|CCR8,0.008101615646258503
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|LRPAP1|SORL1,0.00808080808080808
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|LGALS1|PTPRC,0.008025974025974025
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|HLA-B|KLRD1,0.008020833333333333
Tem/Trm cytotoxic T cells|Regulatory T cells|HLA-DRB5|CD4,0.008020833333333333
Tem/Temra cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-G|CD4,0.008020833333333333
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|HLA-F|CD8B,0.007912087912087912
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-G|CD4,0.007912087912087912
Regulatory T cells|Regulatory T cells|HLA-DQA1|CD4,0.007912087912087912
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|ICAM1|IL2RG,0.007912087912087912
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|B2M|KLRD1,0.007912087912087912
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|GRN|TNFRSF1B,0.007896270396270395
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|GPI|AMFR,0.0077380952380952375
Tem/Temra cytotoxic T cells|Regulatory T cells|HMGB1|HAVCR2,0.0077380952380952375
Regulatory T cells|Tem/Trm cytotoxic T cells|GSTP1|TRAF2,0.007466666666666666
Regulatory T cells|Tem/Trm cytotoxic T cells|TXLNA|STX4,0.0070473970473970485
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|LGALS1|ITGB1,0.00703125
Naive B cells|Regulatory T cells|HLA-DQA1|CD4,0.00703125
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|GZMB|IGF2R,0.006545454545454546
Regulatory T cells|Regulatory T cells|IL16|CD4,0.006545454545454546
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|VCAM1|ITGA4_ITGB1,0.006545454545454546
Regulatory T cells|Tem/Temra cytotoxic T cells|COPA|CD74,0.006545454545454546
Tem/Temra cytotoxic T cells|Tem/Temra cytotoxic T cells|SPON2|ITGA5,0.006545454545454546
Regulatory T cells|Regulatory T cells|HMGB1|CXCR4,0.006545454545454545
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|HMGB1|HAVCR2,0.006545454545454545
Regulatory T cells|Tem/Temra cytotoxic T cells|ICAM2|ITGAL_ITGB2,0.006545454545454545
Regulatory T cells|Regulatory T cells|LGALS9|HAVCR2,0.006545454545454545
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-A|CD8B,0.006545454545454545
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-C|LILRB1,0.006545454545454545
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|HLA-G|CD8B,0.006545454545454545
Tem/Trm cytotoxic T cells|Regulatory T cells|CD48|CD2,0.006545454545454545
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|CD48|CD2,0.006481481481481481
Tem/Trm cytotoxic T cells|Regulatory T cells|HLA-DPA1|LAG3,0.006481481481481481
Regulatory T cells|Regulatory T cells|LGALS9|CD44,0.006481481481481481
Tem/Temra cytotoxic T cells|Regulatory T cells|GZMB|IGF2R,0.006481481481481481
Regulatory T cells|Tem/Temra cytotoxic T cells|ICAM3|ITGAL,0.006481481481481481
Regulatory T cells|Tem/Trm cytotoxic T cells|ARPC5|LDLR,0.006481481481481481
Tem/Temra cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-DQB1|LAG3,0.006481481481481481
Tem/Temra cytotoxic T cells|Regulatory T cells|HLA-DPA1|CD4,0.006481481481481481
Naive B cells|Regulatory T cells|ADAM28|ITGA4,0.006481481481481481
Tem/Trm cytotoxic T cells|Regulatory T cells|BSG|SLC16A1,0.006481481481481481
Tem/Trm cytotoxic T cells|Regulatory T cells|SIRPG|CD47,0.006346153846153846
Regulatory T cells|Tem/Trm cytotoxic T cells|ADAM17|RHBDF2,0.006346153846153846
Tem/Trm cytotoxic T cells|Regulatory T cells|TNF|TNFRSF1B,0.006346153846153846
Tem/Trm cytotoxic T cells|Regulatory T cells|MIF|CD74_CXCR4,0.006346153846153846
Regulatory T cells|Tem/Temra cytotoxic T cells|MFNG|NOTCH2,0.006223456790123458
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|NAMPT|ITGA5_ITGB1,0.006223456790123458
Naive B cells|Regulatory T cells|IL16|CD4,0.0061224489795918356
Tem/Temra cytotoxic T cells|Tem/Temra cytotoxic T cells|ADAM17|ITGB1,0.0061224489795918356
Regulatory T cells|Tem/Trm cytotoxic T cells|HLA-B|KLRD1,0.0061224489795918356
Tem/Trm cytotoxic T cells|Regulatory T cells|ADAM17|NOTCH1,0.0061224489795918356
Regulatory T cells|Naive B cells|MIF|TNFRSF14,0.005437710437710438
Regulatory T cells|Tem/Trm cytotoxic T cells|CCL5|CCR5,0.00530816326530612
Regulatory T cells|Tem/Temra cytotoxic T cells|HLA-A|APLP2,0.005289256198347108
Regulatory T cells|Regulatory T cells|HLA-G|CD4,0.005250000000000001
Tem/Temra cytotoxic T cells|Regulatory T cells|HLA-DRB1|CD4,0.005250000000000001
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-DPA1|CD4,0.0052499999999999995
Tem/Trm cytotoxic T cells|Tem/Trm cytotoxic T cells|HLA-DPA1|LAG3,0.0052499999999999995
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|GNAI2|CCR5,0.0052499999999999995
Tem/Trm cytotoxic T cells|Regulatory T cells|LGALS1|ITGB1,0.0052499999999999995
Tem/Trm cytotoxic T cells|Regulatory T cells|SELPLG|SELL,0.005240659340659342
Regulatory T cells|Tem/Trm cytotoxic T cells|LGALS9|PTPRC,0.005217202550535883
Tem/Temra cytotoxic T cells|Regulatory T cells|TNFSF9|HLA-DPA1,0.00521494708994709
Tem/Trm cytotoxic T cells|Tem/Temra cytotoxic T cells|TGFB1|TGFBR3,0.005128205128205129
Tem/Temra cytotoxic T cells|Tem/Trm cytotoxic T cells|S100A4|CCR5,0.005128205128205129
Tem/Temra cytotoxic T cells|Tem/Temra cytotoxic T cells|HLA-C|CD8B,0.005128205128205129
Regulatory T cells|Tem/Temra cytotoxic T cells|GPI|AMFR,0.004871794871794872
