feature,importance
pDC,0.10010228345535196
Memory B cells,0.09499261072921787
APOE,0.07958004257913175
IL16,0.06020018201795799
Regulatory T cells,0.05678892754071325
Intermediate macrophages,0.0519568938006438
HAVCR2,0.05097931660691401
PDCD1,0.050338232006089154
LAG3,0.044219007249364395
Tem/Temra cytotoxic T cells,0.036980311330841925
TREM2,0.03466777812134955
Non-classical monocytes,0.03258552858076667
CCL5,0.029531607641997252
CD16+ NK cells,0.02595916126622295
Naive B cells,0.02587179156822014
Tcm/Naive helper T cells,0.024676814008431656
Macrophages,0.0194972473163761
DC1,0.01872763406326718
Classical monocytes,0.01853221315721316
NOTCH1,0.01652917341496887
CCR5,0.01609821428571428
CD274,0.015313504650111796
Tem/Effector helper T cells,0.015033318533318534
DC2,0.014165711858487832
TGFB1,0.01414322445231536
Double-positive thymocytes,0.012970837198515772
CD16- NK cells,0.008990080266054294
Tem/Trm cytotoxic T cells,0.007681547619047622
TIGIT,0.007185185185185186
TNF,0.004251879533590942
B cells,0.00396445529778863
CRTAM+ gamma-delta T cells,0.0034545454545454545
Germinal center B cells,0.0028024563820018365
Plasma cells,0.0012282828282828286
