source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Tcm/Naive helper T cells,CD16- NK cells,B2M,KLRD1,2.2062814,0.0,4.744582,1.0890692163006859,0.8519490529486121,0.021477764,0.9574396,0.018270760287763685,3.709675730541044e-09
B cells,CD16- NK cells,B2M,KLRD1,2.1960678,0.0,4.7066803,1.0420144517393142,0.8339599761304567,0.02130619,0.95727587,0.018270760287763685,1.483850207753712e-08
Naive B cells,CD16- NK cells,B2M,KLRD1,2.1905613,0.0,4.686247,1.0166502619306979,0.8311666215533072,0.021213694,0.9571868,0.018270760287763685,3.33861797681486e-08
Plasma cells,CD16- NK cells,B2M,KLRD1,2.1779041,0.0,4.639278,0.9583375479207363,0.8142408389525541,0.021001073,0.95697993,0.018270760287763685,5.935240155313202e-08
Tem/Temra cytotoxic T cells,CD16- NK cells,B2M,KLRD1,2.1766348,0.0,4.6345677,0.9524909706300753,0.8204830470713288,0.02097975,0.956959,0.018270760287763685,9.27368821179497e-08
CD16+ NK cells,CD16- NK cells,B2M,KLRD1,2.175863,0.0,4.631704,0.9489333122640864,0.8091642197371577,0.020966787,0.9569463,0.018270760287763685,1.3353929626717802e-07
Memory B cells,CD16- NK cells,B2M,KLRD1,2.168354,0.0,4.6038384,0.9143398945334359,0.7973539470070367,0.020840647,0.9568218,0.018270760287763685,1.8175937197904462e-07
Tem/Effector helper T cells,CD16- NK cells,B2M,KLRD1,2.1679387,0.0,4.602298,0.9124291663594872,0.7992779129373676,0.020833671,0.9568149,0.018270760287763685,2.373967521563964e-07
Tem/Trm cytotoxic T cells,CD16- NK cells,B2M,KLRD1,2.1511827,0.0,4.5401187,0.8352355098987969,0.783999285927537,0.0205522,0.956533,0.018270760287763685,3.004512152889636e-07
Regulatory T cells,CD16- NK cells,B2M,KLRD1,2.147219,0.0,4.525409,0.816973061640808,0.773592969874196,0.020485613,0.9564655,0.018270760287763685,3.709224228893678e-07
CD16- NK cells,CD16- NK cells,B2M,KLRD1,2.1382403,0.0,4.4920907,0.775610262937826,0.7542178551580975,0.020334786,0.95631135,0.018270760287763685,4.488100736904257e-07
Tcm/Naive helper T cells,CD16+ NK cells,B2M,KLRD1,2.1161327,0.0,4.283539,0.9821971072135003,0.8052756418071353,0.019390713,0.9553074,0.018270760287763685,5.341138026253807e-07
B cells,CD16+ NK cells,B2M,KLRD1,2.1059191,0.0,4.24932,0.9351423426521288,0.7872865649889799,0.019235812,0.9551359,0.018270760287763685,7.269685981958717e-07
Naive B cells,CD16+ NK cells,B2M,KLRD1,2.1004128,0.0,4.230872,0.9097781528435123,0.7844932104118304,0.019152302,0.9550426,0.018270760287763685,9.49484176176532e-07
Plasma cells,Naive B cells,MIF,CD74_CXCR4,2.0803704,0.0,4.278903,0.6734710127659707,0.5567930307706142,0.008288199,0.9552843,0.09478436568875782,1.2016584454096114e-06
Plasma cells,CD16+ NK cells,B2M,KLRD1,2.0877557,0.0,4.1884675,0.851465438833551,0.7675674278110772,0.018960344,0.9548258,0.018270760287763685,1.2016584454096114e-06
