interaction,Non-responder,Responder,diff,abs_diff,source,target,ligand,receptor
B cells|B cells|ADAM10|CD44,0.7282496823807754,0.8254911285941418,-0.09724144621336639,0.09724144621336639,B cells,B cells,ADAM10,CD44
B cells|B cells|ADAM10|IL6R,0.8458517316188117,1.0,-0.15414826838118834,0.15414826838118834,B cells,B cells,ADAM10,IL6R
B cells|B cells|ADAM10|NOTCH1,0.024798802468422386,0.5409154372335329,-0.5161166347651105,0.5161166347651105,B cells,B cells,ADAM10,NOTCH1
B cells|B cells|ADAM10|NOTCH2,1.0,1.0,0.0,0.0,B cells,B cells,ADAM10,NOTCH2
B cells|B cells|ADAM10|TSPAN14,1.0,0.5208585423403241,0.47914145765967586,0.47914145765967586,B cells,B cells,ADAM10,TSPAN14
B cells|B cells|ARF6|SMAP1,0.6750183240495987,1.0,-0.3249816759504013,0.3249816759504013,B cells,B cells,ARF6,SMAP1
B cells|B cells|BSG|SLC16A1,1.0,1.0,0.0,0.0,B cells,B cells,BSG,SLC16A1
B cells|B cells|CD48|CD2,0.31805634290695156,0.10882148617143836,0.2092348567355132,0.2092348567355132,B cells,B cells,CD48,CD2
B cells|B cells|CD99|PILRB,1.0,0.8385018221123499,0.16149817788765009,0.16149817788765009,B cells,B cells,CD99,PILRB
B cells|B cells|COPA|CD74,0.4391722661454402,0.81190992512043,-0.37273765897498984,0.37273765897498984,B cells,B cells,COPA,CD74
B cells|B cells|GNAI2|IGF1R,0.8693439800591327,0.9019919830466256,-0.03264800298749293,0.03264800298749293,B cells,B cells,GNAI2,IGF1R
B cells|B cells|GNAI2|S1PR1,1.0,1.0,0.0,0.0,B cells,B cells,GNAI2,S1PR1
B cells|B cells|GPI|AMFR,0.9910704712178497,1.0,-0.008929528782150253,0.008929528782150253,B cells,B cells,GPI,AMFR
B cells|B cells|HLA-A|APLP2,0.6415852828559154,0.7076646175117495,-0.06607933465583404,0.06607933465583404,B cells,B cells,HLA-A,APLP2
B cells|B cells|HLA-A|CD8A,0.5173948180914306,0.062484880744035506,0.4549099373473951,0.4549099373473951,B cells,B cells,HLA-A,CD8A
B cells|B cells|HLA-A|CD8B,0.48262377368416653,0.07505969732738788,0.40756407635677866,0.40756407635677866,B cells,B cells,HLA-A,CD8B
B cells|B cells|HLA-B|CD3D,0.0002485809087288064,0.0003897332026788112,-0.00014115229395000482,0.00014115229395000482,B cells,B cells,HLA-B,CD3D
B cells|B cells|HLA-B|CD8A,0.42938188331684946,0.0531903496491169,0.37619153366773256,0.37619153366773256,B cells,B cells,HLA-B,CD8A
B cells|B cells|HLA-B|CD8B,0.40186559099960956,0.06587644985490053,0.335989141144709,0.335989141144709,B cells,B cells,HLA-B,CD8B
B cells|B cells|HLA-C|CD8A,0.4299917569039204,0.05986086640955185,0.37013089049436854,0.37013089049436854,B cells,B cells,HLA-C,CD8A
B cells|B cells|HLA-C|CD8B,0.40251969496709117,0.07263275417423187,0.3298869407928593,0.3298869407928593,B cells,B cells,HLA-C,CD8B
B cells|B cells|HLA-DPA1|CD4,1.0,1.0,0.0,0.0,B cells,B cells,HLA-DPA1,CD4
B cells|B cells|HLA-DPB1|CD4,0.830309086366142,1.0,-0.16969091363385802,0.16969091363385802,B cells,B cells,HLA-DPB1,CD4
B cells|B cells|HLA-E|CD8A,0.47538318365618126,0.06426341150041512,0.4111197721557661,0.4111197721557661,B cells,B cells,HLA-E,CD8A
B cells|B cells|HLA-E|CD8B,0.44342961216296367,0.07699538301301359,0.36643422914995005,0.36643422914995005,B cells,B cells,HLA-E,CD8B
B cells|B cells|HLA-E|KLRK1,0.34460497438392873,0.055849103956270525,0.2887558704276582,0.2887558704276582,B cells,B cells,HLA-E,KLRK1
B cells|B cells|HLA-F|CD8A,0.7290553064875791,0.11125832294947939,0.6177969835380998,0.6177969835380998,B cells,B cells,HLA-F,CD8A
B cells|B cells|HLA-F|CD8B,0.688251066925379,0.12684804934210958,0.5614030175832694,0.5614030175832694,B cells,B cells,HLA-F,CD8B
B cells|B cells|HLA-G|CD4,0.7718352146764784,0.5182731521971757,0.2535620624793027,0.2535620624793027,B cells,B cells,HLA-G,CD4
B cells|B cells|HLA-G|CD8A,0.5510342688291154,0.4143542913775966,0.13667997745151883,0.13667997745151883,B cells,B cells,HLA-G,CD8A
B cells|B cells|HLA-G|CD8B,0.5864603869920187,0.4484618018476728,0.13799858514434593,0.13799858514434593,B cells,B cells,HLA-G,CD8B
B cells|B cells|HMGB1|CXCR4,0.00023299339491514526,0.008509453425314365,-0.00827646003039922,0.00827646003039922,B cells,B cells,HMGB1,CXCR4
B cells|B cells|ICAM2|ITGAL_ITGB2,0.4412288944633773,0.7084710105003775,-0.2672421160370002,0.2672421160370002,B cells,B cells,ICAM2,ITGAL_ITGB2
B cells|B cells|ICAM3|ITGAL,0.6403088195852571,0.5888186550424142,0.05149016454284294,0.05149016454284294,B cells,B cells,ICAM3,ITGAL
B cells|B cells|IL16|CD4,0.1597249401203509,0.576309987617083,-0.4165850474967321,0.4165850474967321,B cells,B cells,IL16,CD4
B cells|B cells|IL16|KCNA3,0.015096703034131515,1.0,-0.9849032969658685,0.9849032969658685,B cells,B cells,IL16,KCNA3
B cells|B cells|LCK|CD8A_CD8B,0.8033472534601773,0.5649861675616934,0.23836108589848393,0.23836108589848393,B cells,B cells,LCK,CD8A_CD8B
B cells|B cells|LRPAP1|SORL1,0.7779519879758476,0.41242723035691864,0.365524757618929,0.365524757618929,B cells,B cells,LRPAP1,SORL1
B cells|B cells|MAML2|NOTCH1,0.04380712709929969,1.0,-0.9561928729007003,0.9561928729007003,B cells,B cells,MAML2,NOTCH1
B cells|B cells|MAML2|NOTCH2,1.0,0.9789759926197055,0.02102400738029453,0.02102400738029453,B cells,B cells,MAML2,NOTCH2
B cells|B cells|MFNG|NOTCH1,0.6132120996779623,1.0,-0.3867879003220377,0.3867879003220377,B cells,B cells,MFNG,NOTCH1
B cells|B cells|MFNG|NOTCH2,0.4879662707121538,0.9760875692405331,-0.48812129852837927,0.48812129852837927,B cells,B cells,MFNG,NOTCH2
B cells|B cells|MIF|CD44_CD74,0.23617977423562306,0.19841463369418882,0.03776514054143423,0.03776514054143423,B cells,B cells,MIF,CD44_CD74
B cells|B cells|MIF|CD74_CXCR4,0.23617977423562306,0.19841463369418882,0.03776514054143423,0.03776514054143423,B cells,B cells,MIF,CD74_CXCR4
B cells|B cells|MIF|TNFRSF14,0.9812826616399928,0.9291730037175148,0.052109657922478014,0.052109657922478014,B cells,B cells,MIF,TNFRSF14
B cells|B cells|NUCB2|ERAP1,1.0,0.6338144448011461,0.3661855551988539,0.3661855551988539,B cells,B cells,NUCB2,ERAP1
B cells|B cells|PKM|CD44,0.0433980479436893,0.09100414328423918,-0.04760609534054988,0.04760609534054988,B cells,B cells,PKM,CD44
B cells|B cells|PSEN1|CD44,0.6010684772273187,0.7470609041312124,-0.1459924269038937,0.1459924269038937,B cells,B cells,PSEN1,CD44
